cpg,Trophoblasts,Stromal,Hofbauer,Endothelial,nRBC,Syncytiotrophoblast
cg10590657,0.101409781,0.934579618,0.865528506,0.896364052,0.844838151,0.054604407
cg14923398,0.128203042,0.890210742,0.903676935,0.938364087,0.950870854,0.05383193
cg05348366,0.130569651,0.951981963,0.880308158,0.906513619,0.927805743,0.065467265
cg17907628,0.121524909,0.927877718,0.872784091,0.891441199,0.914360123,0.053252273
cg26799656,0.125995272,0.948201434,0.880386333,0.879100396,0.901041894,0.068239849
cg11862144,0.156199056,0.943085452,0.91149667,0.934167113,0.964733061,0.060442073
cg11552829,0.143650071,0.878379321,0.929397933,0.944605391,0.949094315,0.044791929
cg05059616,0.162314347,0.959668632,0.918034221,0.938432001,0.944802251,0.081697309
cg16156113,0.132055035,0.92991291,0.894976551,0.92553207,0.861280268,0.034962955
cg00281273,0.071933625,0.908695674,0.835016958,0.847663319,0.711670059,0.025313742
cg24702147,0.139897839,0.921167193,0.832690725,0.924332912,0.953131904,0.061624606
cg11108115,0.15989479,0.942149545,0.880352281,0.907692355,0.973585021,0.063588657
cg25259564,0.183893403,0.965927655,0.92938685,0.941743373,0.936074732,0.089647688
cg11724557,0.180521263,0.956924783,0.91580074,0.941248915,0.968651342,0.05457241
cg00942241,0.170456192,0.951566725,0.916895102,0.927966794,0.918223387,0.076302869
cg16277139,0.183192913,0.947000712,0.920482883,0.948033409,0.965193463,0.085776975
cg03098644,0.139066848,0.917362034,0.863467659,0.887779389,0.934543629,0.050807492
cg19022006,0.174268859,0.933559778,0.919713298,0.927187253,0.961884405,0.06779661
cg07213482,0.255241589,0.979803163,0.950947156,0.96771798,0.958988369,0.805620308
cg02180979,0.100864577,0.873117658,0.815792953,0.811922386,0.954988633,0.070142988
cg21952119,0.153653303,0.923174648,0.899669987,0.917543901,0.887323492,0.06188126
cg12406879,0.156690127,0.951250094,0.894759407,0.853628265,0.932296579,0.084553834
